English,Spanish
attorney,abogado
bail,fianza
bailiff,alguacil
complaint,querella
courtroom,sala de audiencias
cross-examination,contrainterrogatorio
defendant,acusado
deposition,declaración jurada
evidence,pruebas
fine,multa
guilty,culpable
judge,juez
jury,jurado
lawsuit,demanda
not guilty,no culpable
oath,juramento
objection,objeción
ombudsman,abogado del pueblo
parole,libertad preparatoria
plaintiff,demandante
plea,declaración
probation,libertad condicional
prosecutor,fiscal
release,libertad
restraining order,orden de restricción
sentence,sentencia
testimony,testimonio
trial,juicio
verdict,veredicto
witness,testigo
